t_s,er
0.00,0.0331
0.17,0.0338
0.34,0.0345
0.52,0.0351
0.69,0.0356
0.86,0.0363
1.03,0.0373
1.20,0.0381
1.38,0.0387
1.55,0.0390
1.72,0.0399
1.89,0.0409
2.06,0.0414
2.24,0.0421
2.41,0.0427
2.58,0.0438
2.75,0.0449
2.92,0.0458
3.10,0.0470
3.27,0.0481
3.44,0.0489
3.61,0.0497
3.78,0.0505
3.96,0.0515
4.13,0.0520
4.30,0.0529
4.47,0.0542
4.64,0.0556
4.82,0.0571
4.99,0.0591
5.16,0.0611
5.33,0.0630
5.50,0.0649
5.68,0.0670
5.85,0.0692
6.02,0.0710
6.19,0.0733
6.36,0.0750
6.54,0.0768
6.71,0.0788
6.88,0.0811
7.05,0.0833
7.22,0.0849
7.40,0.0861
7.57,0.0876
7.74,0.0892
7.91,0.0904
8.08,0.0917
8.26,0.0927
8.43,0.0934
8.60,0.0943
8.77,0.0951
8.94,0.0962
9.12,0.0974
9.29,0.0981
9.46,0.0993
9.63,0.1005
9.80,0.1012
9.98,0.1017
10.15,0.1023
10.32,0.1023
10.49,0.1023
10.66,0.1024
10.84,0.1026
11.01,0.1027
11.18,0.1029
11.35,0.1029
11.52,0.1029
11.70,0.1029
11.87,0.1030
12.04,0.1030
12.21,0.1030
12.38,0.1031
12.56,0.1031
12.73,0.1031
12.90,0.1031
13.07,0.1031
13.24,0.1031
13.42,0.1031
13.59,0.1031
13.76,0.1031
13.93,0.1031
14.10,0.1031
14.28,0.1031
14.45,0.1031
14.62,0.1031
14.79,0.1031
14.96,0.1031
15.14,0.1031
15.31,0.1031
15.48,0.1031
15.65,0.1031
15.82,0.1031
16.00,0.1031
16.17,0.1031
16.34,0.1031
16.51,0.1031
16.68,0.1031
16.86,0.1032
17.03,0.1032
17.20,0.1034
17.37,0.1040
17.54,0.1043
17.72,0.1048
17.89,0.1058
18.06,0.1061
18.23,0.1061
18.40,0.1061
18.58,0.1061
18.75,0.1061
18.92,0.1061
19.10,0.1061
19.27,0.1061
19.44,0.1061
19.61,0.1061
19.78,0.1063
19.96,0.1063
20.13,0.1063
20.30,0.1066
20.47,0.1066
20.64,0.1066
20.82,0.1066
20.99,0.1066
21.16,0.1066
21.33,0.1066
21.50,0.1066
21.68,0.1066
21.85,0.1066
22.02,0.1066
22.19,0.1066
22.36,0.1066
22.54,0.1066
22.71,0.1066
22.88,0.1066
23.05,0.1066
23.22,0.1066
23.40,0.1066
23.57,0.1066
23.74,0.1066
23.91,0.1066
24.08,0.1066
24.26,0.1066
24.43,0.1066
24.60,0.1066
24.77,0.1066
24.94,0.1066
25.12,0.1066
25.29,0.1066
25.46,0.1066
25.63,0.1066
25.80,0.1066
25.98,0.1066
26.15,0.1066
26.32,0.1066
26.49,0.1066
26.66,0.1066
26.84,0.1066
27.01,0.1066
27.18,0.1066
27.35,0.1066
27.52,0.1066
27.70,0.1066
27.87,0.1066
28.04,0.1066
28.21,0.1066
28.38,0.1066
28.56,0.1066
28.73,0.1066
28.90,0.1066
29.07,0.1066
29.24,0.1066
29.42,0.1066
29.59,0.1066
29.76,0.1066
29.93,0.1066
30.10,0.1066
30.28,0.1066
30.45,0.1066
30.62,0.1066
30.79,0.1068
30.96,0.1069
31.14,0.1069
31.31,0.1069
31.48,0.1069
31.65,0.1069
31.82,0.1069
32.00,0.1069
32.17,0.1069
32.34,0.1069
32.51,0.1069
32.68,0.1069
32.86,0.1069
33.03,0.1069
33.20,0.1069
33.37,0.1069
33.54,0.1069
