t_s,er
0.00,0.0000
3.46,0.0000
6.93,0.0000
10.40,0.0000
13.87,0.0000
17.34,0.0000
20.81,0.0000
24.56,0.0000
28.03,0.0000
31.50,0.0000
34.97,0.0000
38.44,0.0000
41.91,0.0000
45.39,0.0000
48.85,0.0000
52.32,0.0000
55.79,0.0000
59.26,0.0000
62.73,0.0000
66.20,0.0000
69.67,0.0000
73.50,0.0000
76.95,0.0000
80.42,0.0000
83.89,0.0000
87.36,0.0000
90.83,0.0000
94.30,0.0000
97.78,0.0000
101.24,0.0000
104.71,0.0000
108.18,0.0000
111.65,0.0000
115.12,0.0000
118.60,0.0000
122.06,0.0000
125.55,0.0000
129.02,0.0000
132.49,0.0000
135.96,0.0000
139.43,0.0000
142.90,0.0000
146.38,0.0000
150.14,0.0000
153.61,0.0000
157.08,0.0000
160.55,0.0000
164.03,0.0000
167.49,0.0000
170.96,0.0000
174.43,0.0000
177.90,0.0000
181.38,0.0000
184.84,0.0000
188.31,0.0000
191.78,0.0000
195.26,0.0000
198.72,0.0000
202.66,0.0000
206.13,0.0000
209.60,0.0000
213.07,0.0000
216.54,0.0000
220.01,0.0000
223.48,0.0000
227.31,0.0000
230.78,0.0000
234.25,0.0000
237.72,0.0000
241.19,0.0000
244.66,0.0000
248.13,0.0000
251.93,0.0000
255.40,0.0000
258.87,0.0000
262.35,0.0000
265.81,0.0000
269.28,0.0000
272.75,0.0000
276.22,0.0000
279.69,0.0000
283.16,0.0000
286.63,0.0000
290.10,0.0000
293.58,0.0000
297.04,0.0000
300.51,0.0000
304.32,0.0000
307.79,0.0000
311.26,0.0000
314.73,0.0000
318.20,0.0000
321.67,0.0000
325.14,0.0000
329.15,0.0000
332.63,0.0000
336.09,0.0000
339.56,0.0000
343.03,0.0000
346.50,0.0000
349.97,0.0000
353.81,0.0000
357.28,0.0000
360.75,0.0000
364.22,0.0000
367.69,0.0000
371.16,0.0000
374.63,0.0000
378.10,0.0000
381.91,0.0000
385.37,0.0000
388.84,0.0000
392.31,0.0000
395.78,0.0000
399.25,0.0000
402.73,0.0000
406.19,0.0000
409.66,0.0000
413.13,0.0000
416.60,0.0000
420.08,0.0000
423.54,0.0000
427.01,0.0000
430.79,0.0000
434.26,0.0000
437.73,0.0000
441.22,0.0000
444.69,0.0000
448.16,0.0000
451.63,0.0000
455.23,0.0000
458.70,0.0000
462.17,0.0000
465.64,0.0000
469.11,0.0000
472.58,0.0000
476.05,0.0000
479.52,0.0000
483.21,0.0000
486.68,0.0000
490.15,0.0000
493.62,0.0000
497.09,0.0000
500.56,0.0000
504.03,0.0000
507.50,0.0000
510.97,0.0000
514.45,0.0000
517.91,0.0000
521.38,0.0000
524.89,0.0000
528.34,0.0000
531.81,0.0000
535.28,0.0000
538.75,0.0000
542.22,0.0000
545.70,0.0000
549.16,0.0000
552.63,0.0000
556.10,0.0000
559.57,0.0000
563.04,0.0000
566.51,0.0000
569.98,0.0000
573.45,0.0000
576.92,0.0000
580.40,0.0000
584.30,0.0000
587.78,0.0000
591.24,0.0000
594.71,0.0000
598.18,0.0000
601.65,0.0000
605.12,0.0000
609.15,0.0000
612.62,0.0000
616.09,0.0000
619.57,0.0000
623.05,0.0000
626.52,0.0000
629.99,0.0000
633.78,0.0000
637.25,0.0000
640.72,0.0000
644.19,0.0000
647.67,0.0000
651.13,0.0000
654.60,0.0000
658.07,0.0000
661.85,0.0000
665.32,0.0000
668.79,0.0000
672.26,0.0000
675.73,0.0000
679.20,0.0000
682.67,0.0000
686.14,0.0000
689.61,0.0000
693.08,0.0000
696.55,0.0000
700.02,0.0000
703.49,0.0000
706.96,0.0000
710.74,0.0000
714.21,0.0000
717.68,0.0000
721.15,0.0000
724.62,0.0000
728.09,0.0000
731.56,0.0000
735.26,0.0000
738.73,0.0000
742.20,0.0000
745.67,0.0000
749.14,0.0000
752.61,0.0000
756.08,0.0000
759.55,0.0000
763.31,0.0000
766.78,0.0000
770.25,0.0000
773.72,0.0000
777.19,0.0000
780.66,0.0000
784.13,0.0000
787.87,0.0000
791.35,0.0000
794.81,0.0000
798.28,0.0000
801.75,0.0000
805.22,0.0000
808.69,0.0000
812.17,0.0000
815.63,0.0000
819.10,0.0000
822.57,0.0000
826.05,0.0000
829.51,0.0000
832.98,0.0000
836.45,0.0000
840.23,0.0000
843.71,0.0000
847.17,0.0000
850.64,0.0000
854.11,0.0000
857.58,0.0000
861.05,0.0000
864.52,0.0000
867.99,0.0000
871.46,0.0000
874.93,0.0000
878.40,0.0000
881.88,0.0000
885.34,0.0000
889.24,0.0000
892.71,0.0000
896.18,0.0000
899.65,0.0000
903.12,0.0000
906.59,0.0000
910.06,0.0000
913.54,0.0000
917.27,0.0000
920.74,0.0000
924.21,0.0000
927.68,0.0000
931.15,0.0000
934.62,0.0000
938.09,0.0000
942.00,0.0000
945.47,0.0000
948.94,0.0000
952.41,0.0000
955.88,0.0000
959.37,0.0000
962.85,0.0000
966.31,0.0000
969.78,0.0000
973.25,0.0000
976.72,0.0000
980.19,0.0000
983.66,0.0000
987.13,0.0000
990.91,0.0000
994.38,0.0000
997.85,0.0000
1001.32,0.0000
1004.79,0.0000
1008.26,0.0000
1011.73,0.0000
1015.20,0.0000
1019.02,0.0000
1022.49,0.0000
1025.96,0.0000
1029.43,0.0000
1032.90,0.0000
1036.37,0.0000
1039.84,0.0000
1043.59,0.0000
1047.05,0.0000
1050.52,0.0000
1053.99,0.0000
1057.46,0.0000
1060.93,0.0000
1064.41,0.0000
1067.87,0.0000
1071.34,0.0000
1074.81,0.0000
1078.29,0.0000
1081.75,0.0000
1085.22,0.0000
1088.69,0.0000
1092.16,0.0000
1095.63,0.0000
1099.10,0.0000
1102.57,0.0000
1106.04,0.0000
1109.51,0.0000
1112.99,0.0000
1116.45,0.0000
1120.26,0.0000
1123.72,0.0000
1127.19,0.0000
1130.66,0.0000
1134.13,0.0000
1137.60,0.0000
1141.07,0.0000
1145.02,0.0000
1148.48,0.0000
1151.95,0.0000
1155.42,0.0000
1158.89,0.0000
1162.36,0.0000
1165.83,0.0000
1169.30,0.0000
1172.77,0.0000
1176.25,0.0000
1179.71,0.0000
1183.18,0.0000
1186.65,0.0000
1190.12,0.0000
1193.59,0.0000
1197.06,0.0000
1200.53,0.0000
1204.00,0.0000
1207.47,0.0000
1210.94,0.0000
1214.42,0.0000
1217.88,0.0000
1221.60,0.0000
1225.07,0.0000
1228.54,0.0000
1232.01,0.0000
1235.48,0.0000
1238.95,0.0000
1242.42,0.0000
1245.89,0.0000
1249.36,0.0000
1252.83,0.0000
1256.31,0.0000
1259.77,0.0000
1263.24,0.0000
1266.71,0.0000
1270.52,0.0000
1273.99,0.0000
1277.46,0.0000
1280.94,0.0000
1284.40,0.0000
1287.87,0.0000
1291.34,0.0000
1294.81,0.0000
1298.63,0.0000
1302.10,0.0000
1305.58,0.0000
1309.04,0.0000
1312.51,0.0000
1315.98,0.0000
1319.45,0.0000
1323.25,0.0000
1326.71,0.0000
1330.19,0.0000
1333.65,0.0000
1337.12,0.0000
1340.59,0.0000
1344.06,0.0000
1347.54,0.0000
1351.00,0.0000
1354.47,0.0000
1357.94,0.0000
1361.41,0.0000
1364.88,0.0000
1368.35,0.0000
1372.22,0.0000
1375.72,0.0000
1379.18,0.0000
1382.65,0.0000
1386.12,0.0000
1389.59,0.0000
1393.07,0.0000
1396.53,0.0000
1400.41,0.0000
1403.88,0.0000
1407.35,0.0000
1410.82,0.0000
1414.29,0.0000
1417.76,0.0000
1421.24,0.0000
1425.07,0.0000
1428.53,0.0000
1432.00,0.0000
1435.47,0.0000
1438.94,0.0000
1442.41,0.0000
1445.88,0.0000
1449.70,0.0000
1453.17,0.0000
1456.64,0.0000
1460.11,0.0000
1463.59,0.0000
1467.05,0.0000
1470.52,0.0000
1474.00,0.0000
1477.69,0.0000
1481.16,0.0000
1484.63,0.0000
1488.10,0.0000
1491.58,0.0000
1495.04,0.0000
1498.51,0.0000
1501.98,0.0000
1505.45,0.0000
1508.92,0.0000
1512.39,0.0000
1515.86,0.0000
1519.33,0.0000
1522.81,0.0000
1526.63,0.0000
1530.10,0.0000
1533.57,0.0000
1537.04,0.0000
1540.51,0.0000
1543.98,0.0000
1547.45,0.0000
1551.13,0.0000
1554.61,0.0000
1558.07,0.0000
1561.54,0.0000
1565.01,0.0000
1568.48,0.0000
1571.96,0.0000
1575.83,0.0000
1579.30,0.0000
1582.77,0.0000
1586.24,0.0000
1589.71,0.0000
1593.18,0.0000
1596.65,0.0000
1600.12,0.0000
1603.59,0.0000
1607.06,0.0000
1610.54,0.0000
1614.00,0.0000
1617.47,0.0000
1620.94,0.0000
1624.41,0.0000
1628.17,0.0000
1631.64,0.0000
1635.11,0.0000
1638.58,0.0000
1642.05,0.0000
1645.52,0.0000
1648.99,0.0000
1652.67,0.0000
1656.14,0.0000
1659.61,0.0000
1663.09,0.0000
1666.55,0.0000
1670.02,0.0000
1673.51,0.0000
1676.98,0.0000
1680.48,0.0000
1683.94,0.0000
1687.41,0.0000
1690.88,0.0000
1694.35,0.0000
1697.82,0.0000
1701.29,0.0000
1704.76,0.0000
1708.23,0.0000
1711.71,0.0000
1715.17,0.0000
1718.64,0.0000
1722.11,0.0000
1725.89,0.0000
1729.36,0.0000
1732.83,0.0000
1736.30,0.0000
1739.77,0.0000
1743.24,0.0000
1746.71,0.0000
1750.18,0.0000
1753.92,0.0000
1757.39,0.0000
1760.86,0.0000
1764.33,0.0000
1767.80,0.0000
1771.27,0.0000
1774.75,0.0000
1778.21,0.0000
1781.68,0.0000
1785.15,0.0000
1788.62,0.0000
1792.10,0.0000
1795.56,0.0000
1799.03,0.0000
1802.50,0.0000
1805.97,0.0000
1809.45,0.0000
1812.91,0.0000
1816.38,0.0000
1819.85,0.0000
1823.32,0.0000
1827.22,0.0000
1830.68,0.0000
1834.15,0.0000
1837.62,0.0000
1841.09,0.0000
1844.56,0.0000
1848.03,0.0000
1851.50,0.0000
1854.97,0.0000
1858.49,0.0000
1861.96,0.0000
1865.44,0.0000
1868.90,0.0000
1872.37,0.0000
1875.84,0.0000
1879.73,0.0000
1883.20,0.0000
1886.67,0.0000
1890.14,0.0000
1893.61,0.0000
1897.08,0.0000
1900.56,0.0000
1904.50,0.0000
1907.97,0.0000
1911.44,0.0000
1914.92,0.0000
1918.38,0.0000
1921.85,0.0000
1925.32,0.0000
1928.79,0.0000
1932.51,0.0000
1935.98,0.0000
1939.45,0.0000
1942.92,0.0000
1946.39,0.0000
1949.86,0.0000
1953.33,0.0000
1957.01,0.0000
1960.49,0.0000
