t_s,er
0.00,0.0274
3.57,0.0459
7.12,0.0758
10.68,0.1040
14.24,0.1160
17.81,0.1457
21.37,0.1530
24.92,0.1716
28.48,0.1957
32.05,0.2274
35.60,0.2506
39.16,0.2600
42.72,0.2615
46.29,0.2653
49.84,0.2780
53.40,0.2922
56.96,0.3051
60.52,0.3175
64.09,0.3218
67.64,0.3247
71.20,0.3270
74.77,0.3279
78.33,0.3389
81.88,0.3389
85.45,0.3389
89.00,0.3567
92.56,0.3634
96.13,0.3650
99.69,0.3664
103.25,0.3671
106.80,0.3671
110.37,0.3674
113.92,0.3674
117.49,0.3676
121.04,0.3676
124.60,0.3676
128.16,0.3679
131.72,0.3679
135.28,0.3680
138.84,0.3680
142.40,0.3680
145.96,0.3680
149.52,0.3680
153.08,0.3683
156.64,0.3683
160.20,0.3683
163.77,0.3683
167.32,0.3683
170.90,0.3683
174.45,0.3683
178.01,0.3683
181.57,0.3683
185.13,0.3683
188.72,0.3688
192.28,0.3688
195.85,0.3688
199.40,0.3688
202.97,0.3688
206.53,0.3688
210.10,0.3688
213.65,0.3688
217.21,0.3688
220.77,0.3688
224.33,0.3688
227.89,0.3688
231.47,0.3688
235.03,0.3688
238.61,0.3689
242.17,0.3689
245.73,0.3689
249.30,0.3689
252.85,0.3689
256.41,0.3689
259.97,0.3691
263.53,0.3691
267.09,0.3695
270.65,0.3695
274.21,0.3745
277.77,0.3745
281.33,0.3751
284.89,0.3751
288.45,0.3751
292.01,0.3753
295.57,0.3753
299.13,0.3753
302.69,0.3756
306.26,0.3756
309.82,0.3756
313.39,0.3759
316.94,0.3759
320.50,0.3759
324.06,0.3759
327.62,0.3759
331.19,0.3759
334.76,0.3759
338.31,0.3759
341.87,0.3768
345.43,0.3768
349.00,0.3768
352.55,0.3768
356.12,0.3768
359.67,0.3768
363.24,0.3768
366.80,0.3768
370.36,0.3768
373.94,0.3768
377.50,0.3768
381.07,0.3768
384.62,0.3768
388.18,0.3768
391.74,0.3768
395.32,0.3768
398.86,0.3768
402.42,0.3768
405.98,0.3768
409.54,0.3768
413.11,0.3768
416.66,0.3768
420.23,0.3768
423.79,0.3768
427.35,0.3768
430.91,0.3768
434.47,0.3772
438.03,0.3772
441.59,0.3772
445.15,0.3772
448.71,0.3776
452.27,0.3776
455.83,0.3776
459.39,0.3776
462.96,0.3776
466.51,0.3776
470.07,0.3776
473.63,0.3776
477.20,0.3776
480.76,0.3776
484.31,0.3776
487.87,0.3776
491.44,0.3776
494.99,0.3776
498.56,0.3776
502.12,0.3776
505.67,0.3776
509.23,0.3776
512.79,0.3776
516.35,0.3776
519.91,0.3776
523.47,0.3776
527.03,0.3776
530.59,0.3776
534.15,0.3776
537.74,0.3776
541.32,0.3776
544.89,0.3776
548.44,0.3776
552.01,0.3776
555.56,0.3776
559.12,0.3776
562.69,0.3776
566.24,0.3776
569.81,0.3776
573.37,0.3776
576.92,0.3776
580.50,0.3776
584.06,0.3776
587.62,0.3776
591.18,0.3776
594.74,0.3776
598.30,0.3776
601.86,0.3776
605.42,0.3776
608.98,0.3776
612.54,0.3776
616.10,0.3776
619.66,0.3776
623.22,0.3776
626.78,0.3776
630.34,0.3776
633.90,0.3776
637.46,0.3776
641.03,0.3776
644.59,0.3776
648.15,0.3776
651.71,0.3776
655.27,0.3776
658.83,0.3776
662.41,0.3776
665.96,0.3776
669.52,0.3776
673.08,0.3776
676.65,0.3776
680.21,0.3776
683.76,0.3776
687.32,0.3776
690.88,0.3776
694.44,0.3776
698.00,0.3776
701.57,0.3776
705.12,0.3776
708.68,0.3776
712.24,0.3776
715.80,0.3776
719.36,0.3776
722.92,0.3776
726.48,0.3776
730.04,0.3776
733.60,0.3776
737.17,0.3776
740.72,0.3776
744.28,0.3776
747.85,0.3776
751.40,0.3776
754.96,0.3776
758.52,0.3776
762.08,0.3776
765.64,0.3776
769.20,0.3776
772.76,0.3776
776.32,0.3776
779.89,0.3776
783.44,0.3776
787.01,0.3776
790.56,0.3776
794.13,0.3776
797.69,0.3776
801.25,0.3776
804.83,0.3776
808.37,0.3776
811.93,0.3776
815.49,0.3776
819.06,0.3776
822.62,0.3776
826.17,0.3776
829.73,0.3776
833.29,0.3776
836.86,0.3776
840.41,0.3776
843.97,0.3776
847.54,0.3776
851.10,0.3776
854.65,0.3776
858.22,0.3776
861.78,0.3776
865.33,0.3776
868.90,0.3776
872.45,0.3776
876.01,0.3776
879.57,0.3776
883.14,0.3776
886.69,0.3776
890.25,0.3776
893.81,0.3776
897.37,0.3776
900.93,0.3776
904.50,0.3776
908.05,0.3776
911.62,0.3776
915.18,0.3776
918.74,0.3776
922.29,0.3776
925.85,0.3776
929.42,0.3776
932.97,0.3776
936.53,0.3776
940.10,0.3776
943.65,0.3776
947.21,0.3776
950.77,0.3776
954.35,0.3776
957.91,0.3776
961.47,0.3776
965.03,0.3776
968.59,0.3776
972.15,0.3776
975.71,0.3776
979.27,0.3776
982.83,0.3776
986.39,0.3776
989.95,0.3776
993.51,0.3776
997.07,0.3776
1000.63,0.3776
1004.19,0.3776
1007.75,0.3776
1011.31,0.3776
1014.87,0.3776
1018.44,0.3776
1021.99,0.3776
1025.55,0.3776
1029.11,0.3776
1032.67,0.3776
1036.23,0.3776
1039.79,0.3776
1043.35,0.3776
1046.91,0.3776
1050.47,0.3776
1054.03,0.3776
1057.59,0.3776
1061.15,0.3776
1064.71,0.3776
1068.27,0.3776
1071.83,0.3776
1075.40,0.3776
1078.95,0.3776
1082.51,0.3776
1086.07,0.3776
1089.63,0.3776
1093.22,0.3776
1096.79,0.3776
1100.33,0.3776
1103.89,0.3776
1107.45,0.3776
1111.01,0.3776
1114.57,0.3776
1118.13,0.3776
1121.69,0.3776
1125.25,0.3776
1128.81,0.3776
1132.37,0.3799
1135.93,0.3799
1139.49,0.3799
1143.06,0.3799
1146.62,0.3799
1150.17,0.3799
1153.73,0.3799
1157.29,0.3799
1160.86,0.3799
1164.41,0.3799
1167.97,0.3799
1171.54,0.3799
1175.10,0.3799
1178.65,0.3799
1182.21,0.3799
1185.77,0.3799
1189.34,0.3799
1192.89,0.3799
1196.45,0.3799
1200.02,0.3799
1203.57,0.3799
1207.13,0.3799
1210.69,0.3799
1214.25,0.3799
1217.86,0.3799
1221.42,0.3799
1224.98,0.3799
1228.54,0.3799
1232.10,0.3799
1235.66,0.3799
1239.23,0.3799
1242.78,0.3799
1246.35,0.3799
1249.93,0.3799
1253.48,0.3799
1257.06,0.3799
1260.62,0.3799
1264.20,0.3799
1267.80,0.3799
1271.37,0.3799
1274.94,0.3799
1278.49,0.3799
1282.05,0.3799
1285.62,0.3799
1289.17,0.3799
1292.73,0.3799
1296.30,0.3799
1299.85,0.3799
1303.41,0.3799
1306.97,0.3799
1310.53,0.3799
1314.16,0.3799
1317.73,0.3799
1321.28,0.3799
1324.85,0.3799
1328.40,0.3799
1331.96,0.3799
1335.52,0.3799
1339.08,0.3799
1342.64,0.3799
1346.20,0.3799
1349.76,0.3799
1353.32,0.3799
1356.88,0.3799
1360.46,0.3799
1364.02,0.3826
1367.58,0.3826
1371.14,0.3826
1374.70,0.3826
1378.26,0.3826
1381.82,0.3826
1385.40,0.3826
1388.96,0.3826
1392.52,0.3826
1396.08,0.3826
1399.64,0.3826
1403.20,0.3826
1406.76,0.3826
1410.32,0.3826
1413.88,0.3826
1417.44,0.3826
1421.00,0.3826
1424.56,0.3826
1428.12,0.3826
1431.68,0.3826
1435.24,0.3826
1438.80,0.3826
1442.36,0.3826
1445.92,0.3826
1449.48,0.3826
1453.04,0.3826
1456.60,0.3826
1460.16,0.3826
1463.72,0.3826
1467.28,0.3826
1470.84,0.3826
1474.40,0.3826
1477.96,0.3826
1481.52,0.3826
1485.08,0.3826
1488.64,0.3826
1492.20,0.3826
1495.76,0.3826
1499.33,0.3826
1502.90,0.3826
1506.49,0.3826
1510.04,0.3826
1513.61,0.3826
1517.16,0.3826
1520.72,0.3826
1524.29,0.3826
1527.84,0.3826
1531.40,0.3826
1534.96,0.3826
1538.52,0.3826
1542.10,0.3826
1545.65,0.3826
1549.21,0.3826
1552.76,0.3826
1556.32,0.3826
1559.90,0.3826
1563.46,0.3826
1567.02,0.3826
1570.58,0.3826
1574.14,0.3826
1577.70,0.3826
1581.26,0.3826
1584.82,0.3826
1588.38,0.3826
1591.95,0.3826
1595.50,0.3826
1599.06,0.3826
1602.62,0.3826
1606.18,0.3826
1609.74,0.3826
1613.30,0.3826
1616.86,0.3826
1620.42,0.3826
1623.98,0.3826
1627.54,0.3826
1631.10,0.3826
1634.66,0.3826
1638.22,0.3826
1641.78,0.3826
1645.34,0.3826
1648.90,0.3826
1652.46,0.3826
1656.02,0.3826
1659.58,0.3826
1663.14,0.3826
1666.70,0.3826
1670.26,0.3826
1673.82,0.3826
1677.40,0.3826
1680.95,0.3826
1684.52,0.3826
1688.07,0.3826
1691.63,0.3826
1695.20,0.3826
1698.75,0.3826
1702.32,0.3826
1705.87,0.3826
1709.43,0.3826
1712.99,0.3826
1716.55,0.3826
1720.11,0.3826
1723.70,0.3826
1727.26,0.3826
1730.82,0.3826
1734.40,0.3826
1737.96,0.3826
1741.52,0.3826
1745.08,0.3826
1748.64,0.3826
1752.20,0.3826
1755.76,0.3826
1759.32,0.3826
1762.88,0.3826
1766.44,0.3826
1770.00,0.3826
1773.57,0.3826
1777.12,0.3826
1780.68,0.3826
1784.24,0.3826
1787.80,0.3826
1791.36,0.3826
1794.93,0.3826
1798.50,0.3826
1802.06,0.3826
1805.61,0.3826
1809.17,0.3826
1812.73,0.3826
1816.31,0.3826
1819.87,0.3826
1823.43,0.3826
1826.99,0.3826
1830.55,0.3826
1834.11,0.3826
1837.67,0.3826
1841.27,0.3826
1844.84,0.3826
1848.39,0.3826
1851.95,0.3826
1855.51,0.3826
1859.08,0.3826
1862.63,0.3826
1866.19,0.3826
1869.75,0.3826
1873.31,0.3826
1876.87,0.3826
1880.43,0.3826
